FullName;Age;PhotoUrl;Nationality;BestPosition;Club
Marcos Llorente Moreno;26;https://cdn.sofifa.com/players/226/161/22_60.png;Spain;CAM;Atlético de Madrid
Riyad Mahrez;30;https://cdn.sofifa.com/players/204/485/22_60.png;Algeria;RW;Manchester City
Gerard Moreno Balagueró;29;https://cdn.sofifa.com/players/208/093/22_60.png;Spain;ST;Villarreal CF
Jamie Vardy;34;https://cdn.sofifa.com/players/208/830/22_60.png;England;ST;Leicester City
João Pedro Cavaco Cancelo;27;https://cdn.sofifa.com/players/210/514/22_60.png;Portugal;RB;Manchester City
Aymeric Laporte;27;https://cdn.sofifa.com/players/212/218/22_60.png;Spain;CB;Manchester City
Kingsley Coman;25;https://cdn.sofifa.com/players/213/345/22_60.png;France;LM;FC Bayern München
Bernardo Mota Carvalho e Silva;26;https://cdn.sofifa.com/players/218/667/22_60.png;Portugal;CAM;Manchester City
Fábio Henrique Tavares;27;https://cdn.sofifa.com/players/209/499/22_60.png;Brazil;CDM;Liverpool
Roberto Firmino Barbosa de Oliveira;29;https://cdn.sofifa.com/players/201/942/22_60.png;Brazil;CF;Liverpool
Antoine Griezmann;30;https://cdn.sofifa.com/players/194/765/22_60.png;France;CAM;Atlético de Madrid
Eden Hazard;30;https://cdn.sofifa.com/players/183/277/22_60.png;Belgium;LW;Real Madrid CF
Péter Gulácsi;31;https://cdn.sofifa.com/players/185/122/22_60.png;Hungary;GK;RB Leipzig
Edinson Cavani;34;https://cdn.sofifa.com/players/179/813/22_60.png;Uruguay;ST;Manchester United
Yann Sommer;32;https://cdn.sofifa.com/players/177/683/22_60.png;Switzerland;GK;Borussia Mönchengladbach
David Josué Jiménez Silva;35;https://cdn.sofifa.com/players/168/542/22_60.png;Spain;CAM;Real Sociedad
Memphis Depay;27;https://cdn.sofifa.com/players/202/556/22_60.png;Netherlands;CF;FC Barcelona
Kasper Schmeichel;34;https://cdn.sofifa.com/players/163/587/22_60.png;Denmark;GK;Leicester City
Alejandro Gómez;33;https://cdn.sofifa.com/players/143/076/22_60.png;Argentina;CAM;Sevilla FC
İlkay Gündoğan;30;https://cdn.sofifa.com/players/186/942/22_60.png;Germany;CM;Manchester City
Marco Reus;32;https://cdn.sofifa.com/players/188/350/22_60.png;Germany;CAM;Borussia Dortmund
Leonardo Bonucci;34;https://cdn.sofifa.com/players/184/344/22_60.png;Italy;CB;Juventus
Kyle Walker;31;https://cdn.sofifa.com/players/188/377/22_60.png;England;RB;Manchester City
